Station Name,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID,Wind Speed Ratio
Oak Street Weather Station,22.8,17.1,57,0.0,0.0,5.4,0.0,251,1.6,5.4,992.5,328,0.0,12.1,2015-05-27 12:00:00,OakStreetWeatherStation201505271200,0.2962962962962963
Oak Street Weather Station,21.9,17.9,68,0.0,0.2,5.6,0.0,248,1.3,2.4,992.8,361,0.0,12.1,2015-05-27 13:00:00,OakStreetWeatherStation201505271300,0.5416666666666667
Oak Street Weather Station,23.5,17.0,52,0.0,0.0,5.6,0.0,303,0.9,5.1,993.7,160,0.0,12.1,2015-05-27 15:00:00,OakStreetWeatherStation201505271500,0.17647058823529413
Oak Street Weather Station,22.7,16.8,56,0.0,0.0,5.6,0.0,347,1.4,3.7,994.6,269,0.0,12.1,2015-05-27 17:00:00,OakStreetWeatherStation201505271700,0.37837837837837834
Oak Street Weather Station,19.1,15.8,72,0.0,0.0,5.6,0.0,18,2.6,3.8,995.1,31,0.0,12.1,2015-05-27 18:00:00,OakStreetWeatherStation201505271800,0.6842105263157895
Oak Street Weather Station,21.3,16.0,58,0.0,0.0,5.6,0.0,108,2.0,4.6,1000.9,847,0.0,12.2,2015-05-28 11:00:00,OakStreetWeatherStation201505281100,0.4347826086956522
Oak Street Weather Station,20.9,16.2,62,0.0,0.0,5.6,0.0,98,1.3,2.6,1000.1,918,0.0,11.9,2015-05-28 13:00:00,OakStreetWeatherStation201505281300,0.5
Oak Street Weather Station,22.2,16.5,56,0.0,0.0,5.6,0.0,55,0.6,1.2,999.0,553,0.0,12.1,2015-05-28 16:00:00,OakStreetWeatherStation201505281600,0.5
Oak Street Weather Station,20.5,15.9,62,0.0,0.0,5.6,0.0,140,0.5,1.1,998.3,79,0.0,12.1,2015-05-28 17:00:00,OakStreetWeatherStation201505281700,0.45454545454545453
Oak Street Weather Station,20.2,15.8,64,0.0,0.0,5.6,0.0,86,0.7,1.4,997.7,60,0.0,12.1,2015-05-28 18:00:00,OakStreetWeatherStation201505281800,0.5
Oak Street Weather Station,19.9,15.5,64,0.0,0.0,5.6,0.0,89,0.7,1.2,997.7,41,0.0,12.1,2015-05-28 19:00:00,OakStreetWeatherStation201505281900,0.5833333333333334
Oak Street Weather Station,19.8,15.4,63,0.0,0.0,5.6,0.0,133,0.9,1.9,997.1,12,0.0,12.0,2015-05-28 20:00:00,OakStreetWeatherStation201505282000,0.4736842105263158
Oak Street Weather Station,19.0,15.1,67,0.0,0.0,5.6,0.0,119,1.4,4.2,996.7,1,0.0,12.0,2015-05-28 21:00:00,OakStreetWeatherStation201505282100,0.3333333333333333
Oak Street Weather Station,18.1,14.7,70,0.0,0.0,5.6,0.0,94,1.5,2.5,996.6,1,0.0,12.0,2015-05-28 22:00:00,OakStreetWeatherStation201505282200,0.6
Oak Street Weather Station,20.2,16.0,66,0.0,0.0,5.6,0.0,116,1.4,3.3,995.8,0,0.0,12.1,2015-05-29 00:00:00,OakStreetWeatherStation201505292400,0.42424242424242425
Oak Street Weather Station,21.3,16.7,64,0.0,0.0,5.6,0.0,113,1.1,1.9,995.8,0,0.0,12.1,2015-05-29 01:00:00,OakStreetWeatherStation201505290100,0.5789473684210527
Oak Street Weather Station,22.5,17.6,62,0.0,0.0,5.6,0.0,108,2.2,3.8,995.2,0,0.0,12.1,2015-05-29 02:00:00,OakStreetWeatherStation201505290200,0.5789473684210527
Oak Street Weather Station,23.0,18.3,64,0.0,0.0,5.6,0.0,125,1.1,2.5,995.5,0,0.0,12.1,2015-05-29 03:00:00,OakStreetWeatherStation201505290300,0.44000000000000006
Oak Street Weather Station,22.8,18.6,67,0.0,0.0,5.6,0.0,101,1.5,3.5,994.9,0,0.0,12.0,2015-05-29 04:00:00,OakStreetWeatherStation201505290400,0.42857142857142855
Oak Street Weather Station,21.8,18.4,72,0.0,0.0,5.6,0.0,116,2.0,4.2,994.3,0,0.0,12.1,2015-05-29 05:00:00,OakStreetWeatherStation201505290500,0.47619047619047616
Oak Street Weather Station,20.9,18.2,78,0.0,0.0,5.6,0.0,119,1.5,3.5,994.4,28,0.0,12.0,2015-05-29 06:00:00,OakStreetWeatherStation201505290600,0.42857142857142855
Oak Street Weather Station,22.0,18.8,74,0.0,0.0,5.6,0.0,0,0.8,1.9,994.7,167,0.0,12.1,2015-05-29 07:00:00,OakStreetWeatherStation201505290700,0.4210526315789474
Oak Street Weather Station,23.6,19.9,71,0.0,0.0,5.6,0.0,87,1.3,2.7,995.1,397,0.0,12.2,2015-05-29 08:00:00,OakStreetWeatherStation201505290800,0.48148148148148145
Oak Street Weather Station,24.0,19.9,69,0.0,0.0,5.6,0.0,97,1.0,2.5,995.1,535,0.0,12.1,2015-05-29 09:00:00,OakStreetWeatherStation201505290900,0.4
Oak Street Weather Station,27.0,21.0,59,0.0,0.0,5.6,0.0,98,0.5,1.1,994.4,416,0.0,12.2,2015-05-29 11:00:00,OakStreetWeatherStation201505291100,0.45454545454545453
Oak Street Weather Station,24.7,20.8,71,0.0,0.2,5.8,60.0,339,1.4,3.3,994.5,43,0.0,12.1,2015-05-29 12:00:00,OakStreetWeatherStation201505291200,0.42424242424242425
Oak Street Weather Station,23.9,20.8,77,0.0,2.2,8.0,0.0,104,2.1,4.1,993.5,453,0.0,12.1,2015-05-29 13:00:00,OakStreetWeatherStation201505291300,0.5121951219512195
Oak Street Weather Station,23.6,20.3,75,0.0,0.0,8.0,0.0,117,2.2,4.2,993.0,939,0.0,12.1,2015-05-29 14:00:00,OakStreetWeatherStation201505291400,0.5238095238095238
Oak Street Weather Station,23.8,20.6,75,0.0,0.0,8.0,60.0,119,1.9,3.3,991.5,476,0.0,12.1,2015-05-29 15:00:00,OakStreetWeatherStation201505291500,0.5757575757575758
Oak Street Weather Station,23.6,20.4,75,0.0,0.0,8.0,0.0,126,1.9,3.6,991.0,75,0.0,12.1,2015-05-29 16:00:00,OakStreetWeatherStation201505291600,0.5277777777777778
Oak Street Weather Station,27.1,20.9,58,0.0,0.0,8.0,0.0,116,0.9,2.3,990.6,188,0.0,12.1,2015-05-29 17:00:00,OakStreetWeatherStation201505291700,0.391304347826087
Oak Street Weather Station,28.1,21.3,55,0.0,0.0,8.0,0.0,240,1.8,3.1,990.1,30,0.0,12.2,2015-05-29 18:00:00,OakStreetWeatherStation201505291800,0.5806451612903226
Oak Street Weather Station,27.8,21.2,56,0.0,0.0,8.0,0.0,255,2.0,5.7,990.6,82,0.0,12.1,2015-05-29 19:00:00,OakStreetWeatherStation201505291900,0.3508771929824561
Oak Street Weather Station,27.1,20.9,58,0.0,0.0,8.0,0.0,0,0.4,1.9,991.0,12,0.0,12.1,2015-05-29 20:00:00,OakStreetWeatherStation201505292000,0.2105263157894737
Oak Street Weather Station,25.7,20.9,65,0.0,0.0,8.0,0.0,54,1.3,2.2,991.1,-2,0.0,12.1,2015-05-29 21:00:00,OakStreetWeatherStation201505292100,0.5909090909090908
Oak Street Weather Station,25.2,20.7,67,0.0,0.0,8.0,0.0,292,1.2,2.3,991.4,-2,0.0,12.1,2015-05-29 22:00:00,OakStreetWeatherStation201505292200,0.5217391304347826
Oak Street Weather Station,24.6,20.7,70,0.0,0.0,8.0,0.0,292,1.4,4.4,991.6,0,0.0,12.1,2015-05-29 23:00:00,OakStreetWeatherStation201505292300,0.3181818181818181
Oak Street Weather Station,24.1,20.3,72,0.0,0.0,8.0,0.0,296,1.4,3.8,991.7,0,0.0,12.1,2015-05-30 00:00:00,OakStreetWeatherStation201505302400,0.3684210526315789
Oak Street Weather Station,23.6,19.7,70,0.0,0.0,8.0,0.0,253,2.1,5.4,991.4,0,0.0,12.1,2015-05-30 01:00:00,OakStreetWeatherStation201505300100,0.3888888888888889
Oak Street Weather Station,23.1,19.7,74,0.0,0.0,8.0,0.0,260,1.5,6.3,991.5,0,0.0,12.1,2015-05-30 02:00:00,OakStreetWeatherStation201505300200,0.2380952380952381
Oak Street Weather Station,22.7,19.6,76,0.0,0.0,8.0,0.0,266,1.7,4.3,991.4,0,0.0,12.1,2015-05-30 03:00:00,OakStreetWeatherStation201505300300,0.3953488372093023
Oak Street Weather Station,22.2,19.6,78,0.0,0.0,8.0,60.0,297,1.2,3.0,991.4,0,0.0,12.1,2015-05-30 04:00:00,OakStreetWeatherStation201505300400,0.39999999999999997
Oak Street Weather Station,21.9,19.6,81,0.0,0.1,8.1,60.0,283,1.5,5.1,991.7,0,0.0,12.1,2015-05-30 05:00:00,OakStreetWeatherStation201505300500,0.29411764705882354
Oak Street Weather Station,21.8,19.6,82,0.0,0.2,8.3,60.0,199,0.8,2.5,992.7,2,0.0,12.1,2015-05-30 06:00:00,OakStreetWeatherStation201505300600,0.32
Oak Street Weather Station,21.3,19.7,87,0.0,0.9,9.2,60.0,0,0.5,1.3,992.7,86,0.0,12.1,2015-05-30 07:00:00,OakStreetWeatherStation201505300700,0.3846153846153846
Oak Street Weather Station,21.4,19.7,86,2.4,0.3,9.6,60.0,356,1.3,2.4,992.8,58,0.0,12.1,2015-05-30 08:00:00,OakStreetWeatherStation201505300800,0.5416666666666667
Oak Street Weather Station,21.3,18.8,80,0.6,0.7,10.3,60.0,344,1.2,2.4,993.4,52,0.0,12.1,2015-05-30 09:00:00,OakStreetWeatherStation201505300900,0.5
Oak Street Weather Station,19.7,18.5,89,0.6,0.5,10.8,60.0,354,0.7,1.1,993.4,68,0.0,12.1,2015-05-30 10:00:00,OakStreetWeatherStation201505301000,0.6363636363636362
Oak Street Weather Station,11.9,11.4,94,0.0,0.7,11.5,60.0,4,4.3,6.5,994.9,90,359.0,12.1,2015-05-30 11:00:00,OakStreetWeatherStation201505301100,0.6615384615384615
Oak Street Weather Station,10.9,10.4,94,0.0,0.3,11.8,0.0,4,5.5,7.9,995.1,151,359.0,12.1,2015-05-30 12:00:00,OakStreetWeatherStation201505301200,0.6962025316455696
Oak Street Weather Station,10.1,9.6,94,0.0,0.0,11.8,0.0,6,7.0,12.1,995.5,76,359.0,12.1,2015-05-30 13:00:00,OakStreetWeatherStation201505301300,0.578512396694215
Oak Street Weather Station,9.7,9.2,93,0.0,0.1,11.9,60.0,3,6.7,10.6,995.5,67,359.0,12.2,2015-05-30 14:00:00,OakStreetWeatherStation201505301400,0.6320754716981133
Oak Street Weather Station,9.4,8.9,93,0.0,1.0,12.9,60.0,14,8.0,10.8,996.1,47,359.0,12.1,2015-05-30 15:00:00,OakStreetWeatherStation201505301500,0.7407407407407407
Oak Street Weather Station,9.2,8.6,93,0.6,1.8,14.6,60.0,6,8.2,12.1,995.9,51,359.0,12.1,2015-05-30 16:00:00,OakStreetWeatherStation201505301600,0.6776859504132231
Oak Street Weather Station,9.2,8.6,93,0.6,1.8,14.6,60.0,6,8.2,12.1,995.9,16,359.0,12.1,2015-05-30 17:00:00,OakStreetWeatherStation201505301700,0.6776859504132231
Oak Street Weather Station,8.6,8.2,95,1.8,2.6,2.6,60.0,12,7.7,12.3,996.5,26,359.0,12.2,2015-05-30 18:00:00,OakStreetWeatherStation201505301800,0.6260162601626016
Oak Street Weather Station,8.1,7.5,92,5.4,1.1,3.7,60.0,16,8.8,12.5,997.2,12,359.0,12.0,2015-05-30 19:00:00,OakStreetWeatherStation201505301900,0.7040000000000001
Oak Street Weather Station,8.2,7.4,91,1.2,1.8,5.5,60.0,3,10.2,13.3,997.5,5,359.0,12.1,2015-05-30 20:00:00,OakStreetWeatherStation201505302000,0.7669172932330827
Oak Street Weather Station,8.2,7.5,91,0.6,3.3,8.9,60.0,26,9.0,12.7,997.7,3,359.0,12.1,2015-05-30 21:00:00,OakStreetWeatherStation201505302100,0.7086614173228347
Oak Street Weather Station,8.1,7.2,88,0.0,1.3,10.2,60.0,13,9.1,12.2,998.2,3,359.0,12.1,2015-05-30 22:00:00,OakStreetWeatherStation201505302200,0.7459016393442623
Oak Street Weather Station,8.3,7.2,87,0.0,0.1,10.3,0.0,15,8.0,11.7,998.2,3,359.0,12.1,2015-05-30 23:00:00,OakStreetWeatherStation201505302300,0.6837606837606838
Oak Street Weather Station,8.1,7.1,88,0.0,0.0,10.3,0.0,14,7.9,11.9,998.3,3,359.0,12.1,2015-05-31 00:00:00,OakStreetWeatherStation201505312400,0.6638655462184874
Oak Street Weather Station,7.7,6.8,89,0.0,0.0,10.3,0.0,15,8.3,11.5,998.2,4,359.0,12.1,2015-05-31 02:00:00,OakStreetWeatherStation201505310200,0.7217391304347827
Oak Street Weather Station,7.3,6.6,90,0.0,0.0,10.3,0.0,11,8.7,11.6,998.0,3,359.0,12.1,2015-05-31 03:00:00,OakStreetWeatherStation201505310300,0.75
Oak Street Weather Station,7.4,6.5,89,0.0,0.0,10.3,0.0,17,8.2,10.9,997.6,4,359.0,12.1,2015-05-31 04:00:00,OakStreetWeatherStation201505310400,0.7522935779816513
Oak Street Weather Station,7.0,6.2,90,0.0,0.0,10.3,0.0,15,8.9,11.4,998.0,4,359.0,12.0,2015-05-31 05:00:00,OakStreetWeatherStation201505310500,0.7807017543859649
Oak Street Weather Station,7.1,6.6,93,0.0,0.0,10.3,0.0,16,8.0,11.1,998.3,7,359.0,12.0,2015-05-31 06:00:00,OakStreetWeatherStation201505310600,0.7207207207207208
Oak Street Weather Station,7.5,7.0,93,0.0,0.0,10.3,0.0,14,6.5,9.1,998.8,19,359.0,12.0,2015-05-31 07:00:00,OakStreetWeatherStation201505310700,0.7142857142857143
Oak Street Weather Station,7.5,6.9,93,0.0,0.0,10.3,60.0,16,6.7,9.2,999.4,41,359.0,12.1,2015-05-31 08:00:00,OakStreetWeatherStation201505310800,0.7282608695652175
Oak Street Weather Station,7.8,6.9,89,0.0,0.0,10.3,0.0,4,6.4,9.7,999.9,67,359.0,12.2,2015-05-31 09:00:00,OakStreetWeatherStation201505310900,0.6597938144329898
Oak Street Weather Station,8.0,7.0,88,0.0,0.0,10.3,0.0,7,7.3,10.2,1000.2,110,359.0,12.0,2015-05-31 10:00:00,OakStreetWeatherStation201505311000,0.7156862745098039
Oak Street Weather Station,8.3,7.3,87,0.0,0.0,10.3,0.0,9,6.2,10.4,1000.6,139,359.0,12.0,2015-05-31 11:00:00,OakStreetWeatherStation201505311100,0.5961538461538461
Oak Street Weather Station,8.6,7.3,84,0.0,0.0,10.3,0.0,15,7.0,9.1,1000.7,236,359.0,12.0,2015-05-31 12:00:00,OakStreetWeatherStation201505311200,0.7692307692307693
Oak Street Weather Station,8.9,7.6,84,0.0,0.0,10.3,0.0,14,6.6,9.0,1000.8,436,359.0,12.1,2015-05-31 13:00:00,OakStreetWeatherStation201505311300,0.7333333333333333
Oak Street Weather Station,9.3,7.6,80,0.0,0.0,10.3,0.0,11,7.1,9.6,1000.5,260,359.0,12.1,2015-05-31 14:00:00,OakStreetWeatherStation201505311400,0.7395833333333334
Oak Street Weather Station,9.7,8.0,80,0.0,0.0,10.3,0.0,12,5.1,7.2,1000.7,295,359.0,12.1,2015-05-31 15:00:00,OakStreetWeatherStation201505311500,0.7083333333333333
Oak Street Weather Station,9.1,7.5,80,0.0,0.0,10.3,0.0,7,5.9,8.3,1000.3,177,359.0,12.1,2015-05-31 16:00:00,OakStreetWeatherStation201505311600,0.7108433734939759
Oak Street Weather Station,9.0,7.3,80,0.0,0.0,10.3,0.0,15,5.7,7.4,1000.5,307,359.0,12.0,2015-05-31 17:00:00,OakStreetWeatherStation201505311700,0.7702702702702703
Oak Street Weather Station,9.0,7.5,82,0.0,0.0,10.3,0.0,12,5.2,6.5,1000.2,158,359.0,12.2,2015-05-31 18:00:00,OakStreetWeatherStation201505311800,0.8
Oak Street Weather Station,8.8,7.2,82,0.0,0.0,10.3,0.0,7,4.3,6.3,1000.7,37,359.0,12.0,2015-05-31 19:00:00,OakStreetWeatherStation201505311900,0.6825396825396826
Oak Street Weather Station,8.8,7.2,81,0.0,0.0,10.3,0.0,13,4.3,6.0,1000.6,13,359.0,12.2,2015-05-31 20:00:00,OakStreetWeatherStation201505312000,0.7166666666666667
Oak Street Weather Station,8.6,7.0,80,0.0,0.0,10.3,0.0,14,4.9,6.1,1001.0,3,359.0,12.0,2015-05-31 21:00:00,OakStreetWeatherStation201505312100,0.8032786885245903
Oak Street Weather Station,8.6,7.1,81,0.0,0.0,10.3,0.0,14,3.3,4.5,1001.1,3,359.0,12.1,2015-05-31 22:00:00,OakStreetWeatherStation201505312200,0.7333333333333333
Oak Street Weather Station,8.4,7.0,83,0.0,0.0,10.3,0.0,28,2.4,3.8,1001.1,3,359.0,12.0,2015-05-31 23:00:00,OakStreetWeatherStation201505312300,0.631578947368421
Oak Street Weather Station,8.9,7.6,84,0.0,0.0,10.3,0.0,38,1.6,2.3,1001.3,3,359.0,12.1,2015-06-01 00:00:00,OakStreetWeatherStation201506012400,0.6956521739130436
Oak Street Weather Station,10.0,8.7,84,0.0,0.0,10.3,0.0,52,2.6,3.7,1000.7,3,359.0,12.0,2015-06-01 01:00:00,OakStreetWeatherStation201506010100,0.7027027027027027
Oak Street Weather Station,9.9,8.0,78,0.0,0.0,10.3,0.0,58,4.4,6.9,1000.8,3,359.0,12.1,2015-06-01 02:00:00,OakStreetWeatherStation201506010200,0.6376811594202899
Oak Street Weather Station,9.3,7.7,82,0.0,0.0,10.3,0.0,57,4.4,5.7,1000.6,3,359.0,12.1,2015-06-01 03:00:00,OakStreetWeatherStation201506010300,0.7719298245614036
Oak Street Weather Station,9.2,7.7,82,0.0,0.0,10.3,0.0,73,4.7,6.3,1000.5,3,359.0,12.0,2015-06-01 04:00:00,OakStreetWeatherStation201506010400,0.746031746031746
Oak Street Weather Station,9.3,8.0,85,0.0,0.0,10.3,0.0,76,2.9,4.3,1001.2,4,359.0,12.1,2015-06-01 05:00:00,OakStreetWeatherStation201506010500,0.6744186046511628
Oak Street Weather Station,9.0,7.7,84,0.0,0.0,10.3,0.0,75,4.3,5.6,1001.5,24,359.0,12.0,2015-06-01 06:00:00,OakStreetWeatherStation201506010600,0.7678571428571429
Oak Street Weather Station,9.2,7.9,85,0.0,0.0,10.3,0.0,71,3.4,4.0,1001.8,82,359.0,12.1,2015-06-01 07:00:00,OakStreetWeatherStation201506010700,0.85
Oak Street Weather Station,9.0,7.8,85,0.0,0.0,10.3,0.0,61,3.7,4.4,1002.3,80,359.0,12.0,2015-06-01 08:00:00,OakStreetWeatherStation201506010800,0.8409090909090908
Oak Street Weather Station,9.0,7.7,85,0.0,0.0,10.3,0.0,41,3.2,3.9,1002.3,354,358.0,12.2,2015-06-01 10:00:00,OakStreetWeatherStation201506011000,0.8205128205128206
Oak Street Weather Station,9.0,7.6,84,0.0,0.0,10.3,0.0,26,3.4,4.3,1002.4,318,359.0,12.1,2015-06-01 11:00:00,OakStreetWeatherStation201506011100,0.7906976744186046
Oak Street Weather Station,8.9,7.5,83,0.0,0.0,10.3,0.0,26,4.1,4.9,1002.3,705,359.0,12.1,2015-06-01 12:00:00,OakStreetWeatherStation201506011200,0.8367346938775508
Oak Street Weather Station,9.4,7.8,81,0.0,0.0,10.3,0.0,29,3.0,3.9,1002.1,931,359.0,12.0,2015-06-01 13:00:00,OakStreetWeatherStation201506011300,0.7692307692307693
Oak Street Weather Station,10.0,8.3,80,0.0,0.0,10.3,0.0,25,4.0,5.5,1001.7,923,359.0,12.2,2015-06-01 14:00:00,OakStreetWeatherStation201506011400,0.7272727272727273
Oak Street Weather Station,10.0,8.3,80,0.0,0.0,10.3,0.0,13,3.9,5.1,1001.5,788,359.0,12.0,2015-06-01 15:00:00,OakStreetWeatherStation201506011500,0.7647058823529412
Oak Street Weather Station,9.9,8.0,78,0.0,0.0,10.3,0.0,17,4.0,4.8,1001.1,651,359.0,12.1,2015-06-01 16:00:00,OakStreetWeatherStation201506011600,0.8333333333333334
Oak Street Weather Station,10.1,7.8,73,0.0,0.0,10.3,0.0,8,3.2,4.2,1000.9,34,359.0,12.2,2015-06-01 17:00:00,OakStreetWeatherStation201506011700,0.7619047619047619
Oak Street Weather Station,10.3,7.6,69,0.0,0.0,10.3,0.0,17,2.3,3.4,1000.7,30,359.0,12.1,2015-06-01 18:00:00,OakStreetWeatherStation201506011800,0.676470588235294
Oak Street Weather Station,10.2,7.5,69,0.0,0.0,10.3,0.0,18,2.8,3.4,1001.0,24,359.0,12.1,2015-06-01 19:00:00,OakStreetWeatherStation201506011900,0.8235294117647058
Oak Street Weather Station,9.8,7.3,71,0.0,0.0,10.3,0.0,10,2.2,4.0,1000.9,11,359.0,12.0,2015-06-01 20:00:00,OakStreetWeatherStation201506012000,0.55
Oak Street Weather Station,9.8,7.3,71,0.0,0.0,10.3,0.0,15,2.7,3.6,1000.8,3,359.0,12.1,2015-06-01 21:00:00,OakStreetWeatherStation201506012100,0.75
Oak Street Weather Station,9.6,7.2,72,0.0,0.0,10.3,0.0,2,1.4,2.0,1001.1,2,359.0,12.0,2015-06-01 22:00:00,OakStreetWeatherStation201506012200,0.7
Oak Street Weather Station,9.6,7.1,71,0.0,0.0,10.3,0.0,4,1.1,1.4,1001.0,3,359.0,12.1,2015-06-01 23:00:00,OakStreetWeatherStation201506012300,0.7857142857142858
Oak Street Weather Station,9.6,7.1,70,0.0,0.0,10.3,0.0,0,0.0,0.6,1000.3,2,359.0,12.1,2015-06-02 00:00:00,OakStreetWeatherStation201506022400,0.0
Oak Street Weather Station,10.1,7.1,66,0.0,0.0,10.3,0.0,0,0.0,0.8,999.8,3,359.0,12.0,2015-06-02 01:00:00,OakStreetWeatherStation201506020100,0.0
Oak Street Weather Station,9.7,7.8,78,0.0,0.0,10.3,0.0,205,0.6,0.8,999.5,3,359.0,12.0,2015-06-02 02:00:00,OakStreetWeatherStation201506020200,0.7499999999999999
Oak Street Weather Station,10.1,8.0,77,0.0,0.0,10.3,0.0,34,1.3,1.8,999.3,3,359.0,12.0,2015-06-02 03:00:00,OakStreetWeatherStation201506020300,0.7222222222222222
Oak Street Weather Station,9.9,8.3,81,0.0,0.0,10.3,0.0,17,1.7,1.9,999.6,3,359.0,12.1,2015-06-02 04:00:00,OakStreetWeatherStation201506020400,0.8947368421052632
Oak Street Weather Station,9.5,8.1,84,0.0,0.0,10.3,0.0,344,1.0,1.2,999.5,4,359.0,12.0,2015-06-02 05:00:00,OakStreetWeatherStation201506020500,0.8333333333333334
Oak Street Weather Station,9.8,8.5,84,0.0,0.0,10.3,0.0,31,1.4,1.8,1000.2,116,359.0,12.1,2015-06-02 06:00:00,OakStreetWeatherStation201506020600,0.7777777777777777
Oak Street Weather Station,10.2,8.7,83,0.0,0.0,10.3,0.0,31,1.9,2.5,1000.8,458,0.0,12.1,2015-06-02 08:00:00,OakStreetWeatherStation201506020800,0.76
Oak Street Weather Station,10.9,9.2,81,0.0,0.0,10.3,0.0,43,1.3,2.2,1001.0,630,0.0,12.1,2015-06-02 09:00:00,OakStreetWeatherStation201506020900,0.5909090909090908
Oak Street Weather Station,11.3,9.5,81,0.0,0.0,10.3,0.0,73,1.1,1.6,1000.7,772,0.0,12.1,2015-06-02 10:00:00,OakStreetWeatherStation201506021000,0.6875
Oak Street Weather Station,11.6,10.2,84,0.0,0.0,10.3,0.0,80,2.0,2.6,999.9,878,0.0,12.1,2015-06-02 11:00:00,OakStreetWeatherStation201506021100,0.7692307692307692
Oak Street Weather Station,13.1,11.3,81,0.0,0.0,10.3,0.0,80,1.4,2.2,999.4,927,0.0,12.1,2015-06-02 13:00:00,OakStreetWeatherStation201506021300,0.6363636363636362
Oak Street Weather Station,14.4,12.1,76,0.0,0.0,10.3,0.0,55,1.1,1.7,998.5,881,359.0,12.1,2015-06-02 14:00:00,OakStreetWeatherStation201506021400,0.6470588235294118
Oak Street Weather Station,15.8,12.4,67,0.0,0.0,10.3,0.0,95,0.7,1.8,997.4,644,359.0,12.1,2015-06-02 16:00:00,OakStreetWeatherStation201506021600,0.38888888888888884
Oak Street Weather Station,14.3,11.7,74,0.0,0.0,10.3,0.0,88,0.0,0.9,996.9,36,0.0,12.1,2015-06-02 18:00:00,OakStreetWeatherStation201506021800,0.0
Oak Street Weather Station,13.8,11.5,76,0.0,0.0,10.3,0.0,49,0.6,1.1,997.0,42,359.0,12.2,2015-06-02 19:00:00,OakStreetWeatherStation201506021900,0.5454545454545454
Oak Street Weather Station,13.6,11.1,74,0.0,0.0,10.3,0.0,86,0.8,1.5,997.1,10,0.0,12.1,2015-06-02 20:00:00,OakStreetWeatherStation201506022000,0.5333333333333333
